track,duration_s,n_notes,density_notes_per_s,polyphony_mean,polyphony_p95,drum_share,median_dur_s,mean_pitch,n_groups,groups,n_chunks,tokens_total,tokens_per_note,chunk_tokens_max,chunk_tokens_mean,empty_chunks,durfrac_0.0-0.1,durfrac_0.1-0.25,durfrac_0.25-0.5,durfrac_0.5-1.0,durfrac_1.0-2.0,durfrac_>=2.0,split
Track01022,228.26,8809,39.207,4.028,7.0,0.4036,0.04,55.89,14,drums:3555;clean_electric_guitar:1680;brass_section:937;string_ensemble:780;electric_bass:677;voice:372;flutes:367;acoustic_piano:293;electric_piano:82;singleton_118:30;violin:17;singleton_119:8;synth_lead:7;singleton_124:4,46,44021,4.997,1534,957.0,0,0.6974,0.1098,0.106,0.0201,0.0569,0.0099,train
Track01038,246.94,6170,25.222,3.342,8.0,0.2219,0.28,55.93,9,acoustic_guitar:1645;drums:1369;flutes:841;electric_piano:665;synth_lead:546;acoustic_bass:463;string_ensemble:400;clean_electric_guitar:211;voice:30,50,37201,6.029,1213,744.0,0,0.2376,0.1164,0.3695,0.1747,0.072,0.0298,train
Track01058,212.92,4579,21.703,4.382,8.0,0.3215,0.19,49.12,8,drums:1472;acoustic_guitar:1343;clean_electric_guitar:673;acoustic_bass:561;soprano_and_alto_sax:274;distorted_electric_guitar:118;electric_piano:109;acoustic_piano:29,44,26227,5.728,865,596.1,0,0.3494,0.3184,0.1712,0.1273,0.0323,0.0013,train
Track01080,216.5,5742,27.07,3.615,8.0,0.3394,0.23,57.89,8,acoustic_guitar:2129;drums:1949;acoustic_piano:591;string_ensemble:364;electric_bass:322;flutes:204;synth_strings:147;chromatic_percussion:36,44,31130,5.421,860,707.5,0,0.388,0.1493,0.2121,0.1715,0.0408,0.0383,train
Track01083,152.99,3108,21.036,2.612,6.0,0.3739,0.3,57.64,7,drums:1162;acoustic_piano:695;electric_piano:430;string_ensemble:347;organ:220;electric_bass:191;distorted_electric_guitar:63,32,16489,5.305,922,515.3,0,0.1544,0.3041,0.3533,0.0994,0.0479,0.0409,train
Track01126,374.28,6830,18.37,2.007,5.0,0.3703,0.13,52.63,11,drums:2529;electric_bass:1172;clean_electric_guitar:664;flutes:529;acoustic_piano:450;electric_piano:345;trumpet:287;brass_section:262;soprano_and_alto_sax:204;singleton_113:202;viola:186,75,37230,5.451,928,496.4,0,0.4141,0.3187,0.0993,0.0707,0.0704,0.0268,train
Track01136,269.31,5039,18.987,5.72,13.0,0.3439,0.16,56.67,13,drums:1733;acoustic_piano:1150;prog100:475;flutes:375;acoustic_guitar:244;electric_bass:244;clean_electric_guitar:214;string_ensemble:175;singleton_98:111;distorted_electric_guitar:110;acoustic_bass:104;soprano_and_alto_sax:101;singleton_119:3,54,28416,5.639,794,526.2,0,0.134,0.5106,0.1191,0.1336,0.0722,0.0306,train
Track01154,312.47,13341,42.987,4.063,8.0,0.3018,0.11,61.41,12,acoustic_guitar:4367;drums:4026;clean_electric_guitar:2727;electric_bass:655;chromatic_percussion:472;electric_piano:415;synth_lead:239;voice:220;synth_strings:109;organ:51;string_ensemble:35;synth_pad:25,63,74122,5.556,1741,1176.5,0,0.4004,0.3974,0.1293,0.0346,0.0166,0.0217,train
Track01166,94.57,1842,20.208,2.58,5.0,0.2443,0.21,58.7,8,acoustic_piano:566;drums:450;acoustic_guitar:445;string_ensemble:152;synth_strings:103;electric_bass:77;contrabass:36;chromatic_percussion:13,19,10690,5.803,900,562.6,0,0.2828,0.2644,0.2579,0.0874,0.0385,0.0689,train
Track01174,295.48,5536,18.87,2.577,6.0,0.4057,0.12,51.85,10,drums:2246;clean_electric_guitar:592;electric_bass:545;synth_pad:540;synth_strings:441;singleton_96:425;acoustic_piano:331;voice:208;distorted_electric_guitar:173;string_ensemble:35,60,29526,5.333,1206,492.1,0,0.4809,0.1945,0.1826,0.0538,0.0345,0.0536,train
Track01195,265.07,7934,30.293,8.138,17.0,0.1879,0.2,56.65,9,acoustic_guitar:2333;acoustic_piano:1878;drums:1491;distorted_electric_guitar:1066;electric_bass:591;string_ensemble:230;organ:227;cello:91;trumpet:27,54,46328,5.839,1650,857.9,0,0.0775,0.6354,0.1491,0.0594,0.0723,0.0063,train
Track01205,268.12,5281,19.707,2.864,5.0,0.5336,0.06,62.7,12,drums:2818;acoustic_piano:528;electric_bass:444;string_ensemble:404;synth_strings:348;acoustic_guitar:228;soprano_and_alto_sax:191;flutes:128;clean_electric_guitar:95;voice:52;electric_piano:42;singleton_119:3,55,23399,4.431,608,425.4,0,0.6092,0.0899,0.1191,0.0674,0.0606,0.0538,train
Track01206,190.19,6969,37.883,7.614,14.0,0.4536,0.06,57.65,10,drums:3161;string_ensemble:1509;electric_bass:640;electric_piano:470;brass_section:458;acoustic_piano:275;synth_strings:139;trumpet:109;acoustic_guitar:109;chromatic_percussion:99,57,33860,4.859,1205,594.0,0,0.704,0.1056,0.1093,0.0184,0.0324,0.0303,train
Track01212,195.9,6749,34.792,4.474,8.0,0.4285,0.11,54.63,8,drums:2892;acoustic_guitar:2335;electric_bass:599;voice:439;electric_piano:218;chromatic_percussion:120;clean_electric_guitar:120;tenor_sax:26,40,33365,4.944,1103,834.1,0,0.4842,0.4759,0.0271,0.0077,0.0046,0.0004,train
Track01226,242.38,6358,26.492,3.746,8.0,0.1897,0.11,53.38,10,clean_electric_guitar:1718;drums:1206;electric_bass:801;chromatic_percussion:672;singleton_108:635;electric_piano:369;distorted_electric_guitar:306;acoustic_piano:283;brass_section:259;string_ensemble:109,49,41279,6.492,1111,842.4,0,0.4443,0.3419,0.0764,0.0437,0.0399,0.0536,train
Track01253,176.3,6675,38.257,9.537,13.0,0.2201,0.12,53.99,11,drums:1469;electric_piano:1460;acoustic_guitar:1264;distorted_electric_guitar:721;electric_bass:588;organ:329;synth_lead:249;acoustic_piano:208;brass_section:156;string_ensemble:147;voice:84,36,41520,6.22,1473,1153.3,0,0.4487,0.3542,0.1381,0.0159,0.0264,0.0168,train
Track01259,301.25,6913,23.257,7.349,13.0,0.3366,0.1,49.98,8,drums:2327;electric_piano:1240;acoustic_piano:1120;electric_bass:864;clean_electric_guitar:533;tenor_sax:466;brass_section:324;string_ensemble:39,61,38324,5.544,860,628.3,0,0.5151,0.2824,0.0798,0.0422,0.0777,0.0027,train
Track01262,158.94,4531,29.721,4.13,9.0,0.1666,0.23,59.16,12,acoustic_piano:1610;drums:755;organ:619;electric_piano:342;singleton_105:324;acoustic_bass:260;chromatic_percussion:255;clarinet:118;tuba:88;clean_electric_guitar:70;acoustic_guitar:66;synth_lead:24,33,28773,6.35,1375,871.9,0,0.2598,0.2807,0.3465,0.0704,0.0296,0.013,train
Track01264,275.17,5482,20.043,3.265,7.0,0.2824,0.2,52.81,9,synth_lead:1919;drums:1548;acoustic_piano:975;acoustic_bass:553;distorted_electric_guitar:184;organ:119;electric_piano:104;synth_pad:64;singleton_127:16,56,30576,5.578,1117,546.0,0,0.297,0.442,0.1974,0.0341,0.021,0.0086,train
Track01275,169.5,6177,37.321,3.521,6.0,0.3665,0.09,58.05,7,drums:2264;organ:1093;electric_bass:1053;clean_electric_guitar:747;voice:702;synth_strings:180;electric_piano:138,35,31344,5.074,1458,895.5,0,0.5402,0.2281,0.1099,0.0673,0.0419,0.0125,train
Track01290,159.24,6321,39.695,7.402,13.0,0.143,0.13,53.71,6,acoustic_guitar:4013;drums:904;electric_piano:754;electric_bass:426;distorted_electric_guitar:157;clean_electric_guitar:67,32,36110,5.713,2308,1128.4,0,0.247,0.2702,0.4786,0.0043,0.0,0.0,train
Track01336,263.11,6378,24.528,4.882,15.0,0.2447,0.35,54.3,11,acoustic_guitar:1848;drums:1561;electric_piano:940;voice:743;acoustic_piano:350;acoustic_bass:323;distorted_electric_guitar:294;string_ensemble:251;synth_lead:52;prog100:12;synth_pad:4,53,37492,5.878,995,707.4,0,0.2578,0.1685,0.1515,0.2937,0.0328,0.0958,train
Track01341,276.84,7847,28.532,2.45,5.0,0.2911,0.1,51.41,7,distorted_electric_guitar:3729;drums:2284;acoustic_bass:1100;acoustic_piano:479;flutes:184;clean_electric_guitar:49;voice:22,56,43072,5.489,1147,769.1,0,0.501,0.3626,0.0912,0.0124,0.0176,0.0153,train
Track01358,214.79,3774,17.68,6.316,10.0,0.2753,0.27,59.05,10,electric_piano:1172;drums:1039;voice:488;flutes:372;electric_bass:321;brass_section:171;distorted_electric_guitar:121;chromatic_percussion:77;singleton_124:8;trumpet:5,43,21250,5.631,942,494.2,0,0.2753,0.0207,0.4762,0.1895,0.0225,0.0159,train
Track01365,160.93,4478,28.394,8.177,13.0,0.1246,0.17,52.94,8,electric_piano:1720;acoustic_guitar:598;drums:558;electric_bass:522;distorted_electric_guitar:414;organ:322;voice:219;tenor_sax:125,33,29799,6.655,1350,903.0,0,0.2704,0.3765,0.2666,0.0583,0.0226,0.0056,train
Track01382,197.73,2302,11.855,3.188,9.0,0.2524,0.24,53.95,6,acoustic_piano:605;drums:581;soprano_and_alto_sax:557;string_ensemble:236;electric_bass:224;clean_electric_guitar:99,41,13682,5.944,568,333.7,0,0.3197,0.1846,0.1047,0.1316,0.1073,0.152,train
Track01388,240.0,2613,11.017,3.017,7.0,0.3735,0.26,55.66,11,drums:976;synth_pad:389;electric_piano:381;acoustic_bass:274;chromatic_percussion:192;acoustic_guitar:104;flutes:94;clean_electric_guitar:70;synth_strings:68;acoustic_piano:51;singleton_102:14,49,14213,5.439,474,290.1,0,0.0153,0.4631,0.1225,0.1623,0.1316,0.1052,train
Track01404,225.56,3216,14.618,3.025,8.0,0.2687,0.31,56.76,7,drums:864;string_ensemble:704;electric_piano:656;flutes:326;voice:252;acoustic_bass:242;clean_electric_guitar:172,47,18983,5.903,685,403.9,0,0.3109,0.1073,0.24,0.0768,0.181,0.084,train
Track01408,265.56,3361,12.871,5.399,11.0,0.3234,0.27,55.15,8,drums:1087;electric_piano:679;synth_pad:453;acoustic_guitar:399;electric_bass:294;voice:237;brass_section:109;string_ensemble:103,54,18986,5.649,726,351.6,0,0.3505,0.1166,0.2169,0.1354,0.1559,0.0247,train
Track01411,246.66,6019,25.067,3.912,9.0,0.2695,0.17,55.76,8,drums:1622;acoustic_piano:1507;string_ensemble:1028;electric_bass:803;brass_section:434;distorted_electric_guitar:316;electric_piano:288;trumpet:21,50,34596,5.748,1447,691.9,0,0.1211,0.5639,0.1927,0.0394,0.0562,0.0267,train
Track01413,142.56,2705,18.974,6.513,12.0,0.1623,0.25,57.45,9,acoustic_guitar:771;drums:439;electric_piano:423;bassoon:289;string_ensemble:285;electric_bass:247;chromatic_percussion:210;organ:37;singleton_122:4,29,17050,6.303,1093,587.9,0,0.1922,0.2107,0.2455,0.1113,0.2388,0.0015,train
Track01453,216.73,4673,22.221,5.096,9.0,0.1237,0.14,62.83,11,organ:1887;acoustic_guitar:1192;drums:578;acoustic_bass:436;electric_piano:250;string_ensemble:129;synth_pad:79;clean_electric_guitar:62;voice:28;prog100:26;acoustic_piano:6,45,29570,6.328,939,657.1,0,0.2251,0.6176,0.1096,0.0167,0.0212,0.0098,train
Track01476,186.27,8139,44.2,10.239,18.0,0.2208,0.1,56.7,9,drums:1797;distorted_electric_guitar:1439;clean_electric_guitar:1436;acoustic_piano:1409;singleton_110:582;organ:537;electric_bass:470;acoustic_guitar:466;singleton_119:3,38,49156,6.04,1669,1293.6,0,0.4908,0.3706,0.0731,0.042,0.0092,0.0143,train
Track01477,287.9,10401,36.731,6.103,13.0,0.5494,0.06,52.55,13,drums:5714;acoustic_piano:1150;electric_piano:981;electric_bass:742;string_ensemble:440;clean_electric_guitar:436;distorted_electric_guitar:433;orchestral_harp:226;singleton_106:150;chromatic_percussion:66;english_horn:28;prog100:24;singleton_125:11,58,44658,4.294,1250,770.0,0,0.6441,0.2099,0.0805,0.0268,0.0183,0.0205,train
Track01481,198.09,6767,34.683,6.027,11.0,0.2332,0.08,53.72,10,acoustic_guitar:1849;drums:1578;chromatic_percussion:984;clean_electric_guitar:748;synth_strings:557;electric_bass:402;acoustic_piano:369;prog101:250;singleton_98:20;organ:10,41,41093,6.073,1270,1002.3,0,0.5375,0.1352,0.1719,0.0731,0.0448,0.0375,train
Track01494,197.78,4718,23.855,9.162,17.0,0.2554,0.13,53.98,7,acoustic_guitar:1477;drums:1205;organ:511;acoustic_piano:494;electric_bass:408;soprano_and_alto_sax:331;distorted_electric_guitar:292,41,27209,5.767,914,663.6,0,0.4659,0.1859,0.1946,0.1051,0.0445,0.004,train
Track01496,160.28,3323,20.732,4.67,9.0,0.3214,0.35,53.29,7,drums:1068;acoustic_piano:747;electric_piano:392;string_ensemble:366;clean_electric_guitar:320;electric_bass:219;synth_pad:211,33,18311,5.51,672,554.9,0,0.0208,0.4291,0.1589,0.1505,0.2176,0.0232,train
Track00038,183.18,6329,35.54,4.463,11.0,0.1738,0.2,56.23,9,acoustic_guitar:1771;clean_electric_guitar:1288;drums:1100;electric_piano:720;singleton_110:431;acoustic_bass:316;acoustic_piano:277;synth_lead:263;distorted_electric_guitar:163,38,39016,6.165,2234,1026.7,0,0.3155,0.2798,0.2278,0.0872,0.0531,0.0365,valid
Track00050,255.88,7124,28.51,8.986,15.0,0.2221,0.13,57.24,10,drums:1582;voice:1267;electric_piano:940;electric_bass:890;synth_pad:838;acoustic_guitar:670;synth_lead:490;chromatic_percussion:279;distorted_electric_guitar:144;clean_electric_guitar:24,52,43220,6.067,1400,831.2,0,0.4149,0.2386,0.2664,0.0337,0.0365,0.0098,valid
Track00075,286.48,6034,21.35,2.668,6.0,0.3061,0.23,53.57,6,acoustic_piano:2091;drums:1847;acoustic_guitar:955;acoustic_bass:571;string_ensemble:416;synth_pad:154,58,33775,5.597,927,582.3,0,0.3387,0.2391,0.211,0.1379,0.0446,0.0287,valid
Track00111,291.59,6194,21.394,4.193,8.0,0.4768,0.02,56.37,10,drums:2953;acoustic_bass:1034;clean_electric_guitar:624;chromatic_percussion:509;synth_pad:504;string_ensemble:378;electric_piano:104;voice:46;trumpet:26;synth_lead:16,59,29518,4.766,827,500.3,0,0.5547,0.3071,0.0565,0.0473,0.0263,0.0081,valid
Track00148,228.55,4237,18.813,4.116,9.0,0.4045,0.07,50.56,6,drums:1714;clean_electric_guitar:810;electric_piano:599;acoustic_bass:419;string_ensemble:356;soprano_and_alto_sax:339,47,21947,5.18,638,467.0,0,0.5204,0.1909,0.1008,0.0703,0.0689,0.0486,valid
Track00224,211.86,8088,38.176,8.55,14.0,0.2209,0.18,54.22,7,acoustic_piano:2707;acoustic_guitar:2352;drums:1787;acoustic_bass:374;electric_bass:374;clean_electric_guitar:322;violin:172,43,45762,5.658,1426,1064.2,0,0.2573,0.3253,0.3264,0.0865,0.0038,0.0006,valid
Track00288,207.98,5101,24.779,3.118,7.0,0.2782,0.25,52.36,8,clean_electric_guitar:1482;drums:1419;acoustic_piano:873;acoustic_bass:597;organ:411;brass_section:123;string_ensemble:118;voice:78,42,29931,5.868,938,712.6,0,0.3068,0.188,0.2692,0.1051,0.0776,0.0533,valid
Track00371,244.55,5082,21.39,2.677,6.0,0.1785,0.22,57.74,8,acoustic_piano:1404;acoustic_guitar:1277;drums:907;clean_electric_guitar:662;acoustic_bass:279;string_ensemble:239;orchestral_harp:221;brass_section:93,50,32054,6.307,1569,641.1,0,0.282,0.2967,0.1934,0.1157,0.0832,0.0289,valid
Track00384,311.27,8052,26.082,4.297,9.0,0.4352,0.12,56.81,9,drums:3504;clean_electric_guitar:2133;electric_piano:666;electric_bass:550;flutes:505;string_ensemble:256;voice:193;singleton_98:151;trumpet:94,64,39315,4.883,889,614.3,0,0.155,0.6669,0.0386,0.0329,0.0502,0.0564,valid
Track00578,200.48,2365,11.815,4.316,9.0,0.4558,0.27,51.06,5,drums:1078;acoustic_piano:844;acoustic_bass:248;clean_electric_guitar:105;singleton_110:90,41,11159,4.718,499,272.2,0,0.1666,0.2816,0.4165,0.1205,0.0085,0.0063,valid
Track00638,411.22,10961,26.655,7.012,10.0,0.2533,0.23,53.09,7,acoustic_piano:5904;drums:2776;electric_bass:819;voice:561;clarinet:335;acoustic_guitar:301;clean_electric_guitar:265,83,59462,5.425,1032,716.4,0,0.2601,0.5089,0.1665,0.0386,0.0177,0.0082,valid
Track00707,212.28,6421,30.722,2.767,5.0,0.2029,0.05,55.47,8,acoustic_guitar:2937;drums:1303;acoustic_piano:721;string_ensemble:385;acoustic_bass:370;synth_strings:342;soprano_and_alto_sax:243;flutes:120,43,38326,5.969,1150,891.3,0,0.6895,0.0667,0.0811,0.0734,0.0705,0.0188,valid
Track00718,236.13,5147,22.295,4.075,9.0,0.2831,0.25,53.42,10,drums:1457;string_ensemble:767;acoustic_piano:670;voice:670;electric_bass:406;synth_lead:374;synth_pad:286;acoustic_guitar:265;electric_piano:180;singleton_99:72,48,29138,5.661,1096,607.0,0,0.3851,0.1123,0.2654,0.1241,0.0233,0.0898,valid
Track00751,240.0,5844,24.649,5.2,11.0,0.2714,0.11,55.48,13,acoustic_guitar:1813;drums:1586;electric_bass:636;organ:388;distorted_electric_guitar:360;electric_piano:307;soprano_and_alto_sax:266;clean_electric_guitar:252;voice:182;chromatic_percussion:48;string_ensemble:3;singleton_119:2;singleton_125:1,49,34459,5.896,1266,703.2,0,0.397,0.3292,0.1158,0.1049,0.0346,0.0185,valid
Track00898,351.91,4808,13.928,3.081,6.0,0.298,0.22,56.01,8,drums:1433;electric_piano:665;clean_electric_guitar:592;chromatic_percussion:530;voice:509;acoustic_bass:482;flutes:457;string_ensemble:140,71,28402,5.907,610,400.0,0,0.3569,0.1529,0.2211,0.0505,0.1337,0.0849,valid
Track01042,352.4,9638,27.35,4.845,8.0,0.4414,0.08,41.95,7,drums:4254;electric_bass:2034;acoustic_bass:1954;acoustic_piano:680;distorted_electric_guitar:414;clean_electric_guitar:286;synth_lead:16,71,50434,5.233,1134,710.3,0,0.8084,0.1439,0.0256,0.01,0.0053,0.0068,valid
Track01064,220.2,6794,31.27,4.894,11.0,0.4042,0.13,60.14,11,drums:2746;acoustic_guitar:1437;electric_piano:705;singleton_99:705;trumpet:379;clean_electric_guitar:291;distorted_electric_guitar:138;electric_bass:131;string_ensemble:116;synth_pad:90;organ:56,45,35314,5.198,1034,784.8,0,0.4737,0.0549,0.0561,0.3188,0.0626,0.034,valid
Track01204,240.0,7402,30.842,5.36,11.0,0.4595,0.15,58.32,6,drums:3401;electric_piano:2444;acoustic_guitar:668;string_ensemble:580;electric_bass:305;voice:4,49,34631,4.679,962,706.8,0,0.0346,0.5351,0.1805,0.1097,0.1158,0.0243,valid
Track01215,270.64,7062,26.519,2.912,8.0,0.6871,0.06,57.1,9,drums:4852;electric_bass:513;clean_electric_guitar:442;synth_pad:345;flutes:242;distorted_electric_guitar:238;acoustic_piano:237;brass_section:145;synth_lead:48,56,26265,3.719,855,469.0,0,0.7389,0.0922,0.0623,0.015,0.0523,0.0394,valid
Track01414,124.62,1288,10.335,4.859,10.0,0.1817,0.49,53.93,6,acoustic_guitar:326;drums:234;string_ensemble:213;electric_bass:176;synth_pad:170;electric_piano:169,26,7982,6.197,414,307.0,0,0.0,0.0396,0.4674,0.3362,0.0575,0.0994,valid
Track01876,253.3,4102,16.55,3.219,7.0,0.3025,0.22,57.23,12,drums:1241;clean_electric_guitar:766;electric_piano:553;voice:401;distorted_electric_guitar:360;electric_bass:307;organ:238;acoustic_piano:102;synth_pad:97;singleton_123:19;string_ensemble:17;singleton_127:1,51,23290,5.678,733,456.7,0,0.4176,0.0904,0.2387,0.1531,0.0726,0.0275,test
Track01880,241.43,8161,34.011,5.074,10.0,0.5368,0.09,47.09,9,drums:4381;electric_bass:1156;string_ensemble:631;electric_piano:523;chromatic_percussion:494;distorted_electric_guitar:448;organ:369;synth_pad:87;voice:72,49,36541,4.478,1060,745.7,0,0.6497,0.2615,0.0493,0.0157,0.0192,0.0047,test
Track01887,411.22,10961,26.655,7.012,10.0,0.2533,0.23,53.09,7,acoustic_piano:5904;drums:2776;electric_bass:819;voice:561;clarinet:335;acoustic_guitar:301;clean_electric_guitar:265,83,59462,5.425,1032,716.4,0,0.2601,0.5089,0.1665,0.0386,0.0177,0.0082,test
Track01888,301.49,6225,20.861,3.811,9.0,0.4019,0.19,52.34,8,drums:2502;clean_electric_guitar:1115;acoustic_piano:1018;voice:454;synth_pad:402;electric_bass:360;string_ensemble:248;organ:126,61,32120,5.16,1206,526.6,0,0.188,0.387,0.1149,0.1044,0.1443,0.0615,test
Track01889,273.88,4089,15.162,3.7,8.0,0.3937,0.29,62.29,12,drums:1610;electric_piano:758;string_ensemble:587;acoustic_guitar:514;flutes:331;acoustic_bass:156;voice:43;timpani:30;distorted_electric_guitar:29;synth_pad:19;orchestral_harp:7;singleton_119:5,56,21573,5.276,648,385.2,0,0.418,0.054,0.1279,0.1171,0.1061,0.1768,test
Track01895,120.18,4770,40.342,10.114,16.0,0.2117,0.11,54.38,8,acoustic_guitar:1376;drums:1010;acoustic_piano:990;electric_bass:427;electric_piano:341;brass_section:251;tenor_sax:243;string_ensemble:132,25,28885,6.056,1600,1155.4,0,0.4765,0.3956,0.095,0.022,0.008,0.0029,test
Track01897,290.5,3399,11.779,2.823,6.0,0.1745,0.34,60.17,13,electric_piano:808;acoustic_guitar:633;drums:593;acoustic_piano:384;flutes:377;electric_bass:189;violin:88;string_ensemble:82;voice:74;synth_pad:62;soprano_and_alto_sax:44;prog100:37;singleton_116:28,60,21854,6.43,647,364.2,0,0.1974,0.1589,0.3469,0.1815,0.0818,0.0335,test
Track01901,243.98,5781,24.064,4.769,12.0,0.2629,0.21,48.46,11,acoustic_guitar:2205;drums:1520;electric_bass:617;clean_electric_guitar:448;organ:342;distorted_electric_guitar:225;acoustic_piano:224;singleton_104:135;singleton_126:29;singleton_122:20;voice:16,50,34448,5.959,1354,689.0,0,0.0989,0.5547,0.2058,0.0702,0.0624,0.0078,test
Track01902,265.2,5503,20.997,7.967,17.0,0.2102,0.19,55.53,8,acoustic_piano:1558;acoustic_guitar:1461;drums:1157;tenor_sax:341;string_ensemble:331;electric_bass:279;distorted_electric_guitar:256;synth_pad:120,54,32563,5.917,973,603.0,0,0.0596,0.6436,0.1347,0.052,0.0427,0.0674,test
Track01903,234.55,6181,26.639,2.526,6.0,0.237,0.19,56.81,14,acoustic_guitar:1747;acoustic_piano:1598;drums:1465;violin:566;acoustic_bass:198;string_ensemble:151;viola:148;synth_lead:103;organ:95;voice:58;synth_pad:46;singleton_104:3;timpani:2;distorted_electric_guitar:1,48,36897,5.969,2083,768.7,0,0.2805,0.3692,0.1828,0.0623,0.0658,0.0393,test
Track01906,252.03,5120,20.539,4.327,9.0,0.2764,0.21,57.57,8,acoustic_guitar:1601;drums:1415;clean_electric_guitar:492;synth_pad:456;string_ensemble:451;acoustic_bass:402;acoustic_piano:216;organ:87,52,29326,5.728,910,564.0,0,0.3377,0.3346,0.1695,0.0994,0.0502,0.0086,test
Track01907,240.71,6146,25.728,6.444,12.0,0.1443,0.18,55.96,8,acoustic_guitar:1632;clean_electric_guitar:1092;drums:887;distorted_electric_guitar:807;electric_bass:523;organ:479;electric_piano:395;synth_pad:331,49,40151,6.533,1108,819.4,0,0.0238,0.5513,0.1842,0.1505,0.0788,0.0116,test
Track01913,345.01,8052,23.534,4.252,9.0,0.4352,0.13,56.81,9,drums:3504;clean_electric_guitar:2133;electric_piano:666;electric_bass:550;flutes:505;string_ensemble:256;voice:193;singleton_98:151;trumpet:94,71,39223,4.871,844,552.4,0,0.1119,0.7062,0.0375,0.0319,0.0479,0.0646,test
Track01917,269.16,5004,18.831,5.289,11.0,0.4954,0.2,59.03,10,drums:2479;singleton_99:793;acoustic_piano:738;flutes:278;synth_strings:230;acoustic_bass:180;string_ensemble:132;acoustic_guitar:75;voice:64;french_horn:35,55,24793,4.955,694,450.8,0,0.4954,0.2516,0.1149,0.0356,0.0743,0.0282,test
Track01930,318.96,4399,14.081,4.269,11.0,0.3678,0.19,53.64,11,drums:1618;acoustic_piano:1252;flutes:458;acoustic_bass:285;string_ensemble:238;distorted_electric_guitar:207;singleton_103:117;voice:70;acoustic_guitar:62;singleton_118:62;prog101:30,66,23778,5.405,653,360.3,0,0.4051,0.1532,0.1521,0.1212,0.0664,0.1021,test
Track01932,241.06,5082,21.082,4.664,10.0,0.3461,0.46,57.49,6,drums:1759;electric_piano:1742;string_ensemble:530;clean_electric_guitar:510;organ:350;acoustic_bass:191,49,26852,5.284,914,548.0,0,0.0159,0.4022,0.1261,0.2312,0.1621,0.0624,test
Track01945,194.38,3852,19.817,2.763,6.0,0.3422,0.24,50.67,9,drums:1318;acoustic_piano:855;acoustic_guitar:471;electric_bass:361;clean_electric_guitar:338;trombone:319;violin:74;synth_lead:65;string_ensemble:51,40,21677,5.627,632,541.9,0,0.3676,0.1379,0.1934,0.1854,0.0919,0.0239,test
Track01948,241.68,3926,16.469,5.355,12.0,0.1719,0.26,56.52,10,acoustic_guitar:1137;acoustic_piano:1134;drums:675;electric_piano:272;acoustic_bass:219;organ:159;synth_strings:118;voice:85;clean_electric_guitar:76;distorted_electric_guitar:51,51,24845,6.328,810,487.2,0,0.205,0.2565,0.2784,0.1416,0.0517,0.0667,test
Track01950,223.41,4372,19.762,8.028,15.0,0.1075,0.33,58.57,6,acoustic_piano:1513;string_ensemble:798;electric_piano:754;acoustic_guitar:670;drums:470;acoustic_bass:167,47,29450,6.736,1081,626.6,0,0.1416,0.2813,0.2187,0.1624,0.1377,0.0583,test
Track01952,200.84,6118,30.907,2.14,6.0,0.1571,0.065,55.58,5,acoustic_guitar:4213;drums:961;electric_bass:330;organ:317;electric_piano:297,41,35701,5.835,1204,870.8,0,0.5534,0.1044,0.1721,0.1044,0.0556,0.01,test
Track01955,276.53,4146,15.147,4.729,8.0,0.3292,0.24,51.27,6,drums:1365;clean_electric_guitar:1245;acoustic_bass:644;electric_piano:383;organ:350;distorted_electric_guitar:159,56,22481,5.422,647,401.4,0,0.0137,0.4908,0.3977,0.0357,0.048,0.014,test
Track01959,260.42,4542,17.571,5.352,10.0,0.3261,0.3,51.05,6,drums:1481;clean_electric_guitar:1245;electric_bass:644;distorted_electric_guitar:439;electric_piano:383;organ:350,53,24653,5.428,895,465.2,0,0.0414,0.3679,0.4945,0.0491,0.0357,0.0114,test
Track01962,251.48,6425,25.549,3.755,8.0,0.3161,0.09,50.98,7,drums:2031;clean_electric_guitar:1175;acoustic_guitar:886;electric_bass:852;acoustic_piano:849;voice:577;distorted_electric_guitar:55,51,35798,5.572,992,701.9,0,0.525,0.2685,0.1074,0.0604,0.0229,0.0159,test
Track01965,222.21,4647,21.302,4.373,10.0,0.4478,0.09,50.2,9,drums:2081;clean_electric_guitar:721;electric_piano:583;electric_bass:479;brass_section:409;acoustic_piano:278;synth_strings:57;string_ensemble:33;english_horn:6,45,22986,4.946,793,510.8,0,0.5128,0.3277,0.0943,0.0159,0.0142,0.0351,test
Track01972,320.58,8718,27.194,7.369,14.0,0.2905,0.11,53.16,7,drums:2533;acoustic_piano:1788;acoustic_guitar:1322;electric_bass:1188;electric_piano:1102;chromatic_percussion:552;string_ensemble:233,65,49953,5.73,1139,768.5,0,0.4705,0.3011,0.1477,0.0406,0.0311,0.0089,test
Track01973,256.0,6089,24.086,8.869,16.0,0.2956,0.4,52.45,7,acoustic_guitar:1804;drums:1800;acoustic_piano:1436;organ:644;electric_bass:374;brass_section:18;string_ensemble:13,53,32645,5.361,1136,615.9,0,0.2951,0.0463,0.3441,0.2592,0.0376,0.0177,test
